"","Commodity Group","Commodity Group Code","Originated","Received","Year","Week","Company"
"359","Grain Mill Products","G",3744,609,2025,2025-11-12,"UP"
"360","Grain","H",6943,1476,2025,2025-11-12,"UP"
"361","Iron & Steel Scrap","I",763,196,2025,2025-11-12,"UP"
"362","Lumber & Wood Products","J",1113,497,2025,2025-11-12,"UP"
"363","Metallic Ores","K",287,43,2025,2025-11-12,"UP"
"364","Metal Products","L",1126,1269,2025,2025-11-12,"UP"
"365","Motor Vehicles & Equipment","M",2068,5016,2025,2025-11-12,"UP"
"366","Nonmetallic Minerals","N",1045,199,2025,2025-11-12,"UP"
"367","Petroleum Products","O",3313,1792,2025,2025-11-12,"UP"
"368","Primary Forest Products","P",387,81,2025,2025-11-12,"UP"
"369","Pulp & Paper Products","Q",798,919,2025,2025-11-12,"UP"
"370","Stone, Clay, Glass","R",2458,522,2025,2025-11-12,"UP"
"371","Waste & Other Scrap","S",590,295,2025,2025-11-12,"UP"
"372","All Other","T",1868,976,2025,2025-11-12,"UP"
"373","Containers","U",59608,10199,2025,2025-11-12,"UP"
"374","Trailers","V",1299,14,2025,2025-11-12,"UP"
"375","Chemicals","A",18004,3773,2025,2025-11-05,"UP"
"376","Coal","B",13434,-108,2025,2025-11-05,"UP"
"377","Coke","C",423,68,2025,2025-11-05,"UP"
"378","Crushed Stone, Sand & Gravel","D",8006,38,2025,2025-11-05,"UP"
"379","Farm Products","E",287,106,2025,2025-11-05,"UP"
"380","Food & Kindred Products","F",2487,1949,2025,2025-11-05,"UP"
"381","Grain Mill Products","G",3894,177,2025,2025-11-05,"UP"
"382","Grain","H",6923,1278,2025,2025-11-05,"UP"
"383","Iron & Steel Scrap","I",891,123,2025,2025-11-05,"UP"
"384","Lumber & Wood Products","J",1368,480,2025,2025-11-05,"UP"
"385","Metallic Ores","K",253,86,2025,2025-11-05,"UP"
"386","Metal Products","L",1361,1270,2025,2025-11-05,"UP"
